,asset,date,count
409,RAY,2022-01-22,161
410,RAY,2022-01-23,165
411,RAY,2022-01-24,175
412,RAY,2022-01-25,184
413,RAY,2022-01-26,193
414,RAY,2022-01-27,200
415,RAY,2022-01-28,204
416,RAY,2022-01-29,213
417,RAY,2022-01-30,221
418,RAY,2022-01-31,227
419,RAY,2022-02-01,235
420,RAY,2022-02-02,241
421,RAY,2022-02-03,244
422,RAY,2022-02-04,249
423,RAY,2022-02-06,251
424,RAY,2022-02-07,255
425,RAY,2022-02-08,258
426,RAY,2022-02-09,261
427,RAY,2022-02-10,268
428,RAY,2022-02-11,270
429,RAY,2022-02-12,273
430,RAY,2022-02-13,277
431,RAY,2022-02-14,281
432,RAY,2022-02-15,284
433,RAY,2022-02-16,291
434,RAY,2022-02-17,300
435,RAY,2022-02-18,303
436,RAY,2022-02-19,307
437,RAY,2022-02-20,313
438,RAY,2022-02-21,315
439,RAY,2022-02-22,317
440,RAY,2022-02-23,321
441,RAY,2022-02-24,323
442,RAY,2022-02-25,330
443,RAY,2022-02-26,333
444,RAY,2022-02-27,336
445,RAY,2022-02-28,338
446,RAY,2022-03-01,343
447,RAY,2022-03-02,347
448,RAY,2022-03-03,353
449,RAY,2022-03-04,359
450,RAY,2022-03-05,360
451,RAY,2022-03-06,363
452,RAY,2022-03-07,364
453,RAY,2022-03-08,365
454,RAY,2022-03-09,369
455,RAY,2022-03-10,371
456,RAY,2022-03-11,373
457,RAY,2022-03-12,375
458,RAY,2022-03-13,376
459,RAY,2022-03-15,378
460,RAY,2022-03-16,380
461,SBR,2021-12-30,213
462,SBR,2021-12-31,215
463,SBR,2022-01-13,329
464,SBR,2022-01-14,447
465,SBR,2022-01-15,473
466,SBR,2022-01-17,474
467,SBR,2022-01-18,476
468,SBR,2022-01-19,477
469,SBR,2022-01-21,528
470,SBR,2022-01-22,564
471,SBR,2022-01-23,598
472,SBR,2022-01-24,634
473,SBR,2022-01-25,644
474,SBR,2022-01-26,647
475,SBR,2022-01-27,649
476,SBR,2022-01-28,702
477,SBR,2022-01-29,735
478,SBR,2022-01-30,761
479,SBR,2022-01-31,784
480,SBR,2022-02-01,803
481,SBR,2022-02-02,806
482,SBR,2022-02-03,829
483,SBR,2022-02-04,853
484,SBR,2022-02-05,861
485,SBR,2022-02-06,878
486,SBR,2022-02-07,884
487,SBR,2022-02-08,890
488,SBR,2022-02-09,893
489,SBR,2022-02-10,895
490,SBR,2022-02-11,925
491,SBR,2022-02-12,940
492,SBR,2022-02-18,958
493,SBR,2022-02-19,968
494,SBR,2022-02-20,976
495,SBR,2022-02-21,986
496,SBR,2022-02-22,992
497,SBR,2022-02-23,1001
498,SBR,2022-02-24,1007
499,SBR,2022-02-25,1020
500,SBR,2022-02-26,1030
501,SBR,2022-02-27,1036
502,SBR,2022-02-28,1043
503,SBR,2022-03-03,1046
504,SBR,2022-03-04,1053
505,SBR,2022-03-05,1055
506,SBR,2022-03-06,1061
507,SBR,2022-03-07,1067
508,SBR,2022-03-08,1071
509,SBR,2022-03-09,1075
510,SBR,2022-03-10,1078
511,SBR,2022-03-11,1081
512,SBR,2022-03-12,1082
513,SBR,2022-03-15,1084
514,SBR,2022-03-16,1085
515,SOL,2021-12-17,4
516,SOL,2021-12-18,18
517,SOL,2021-12-19,75
518,SOL,2021-12-20,342
519,SOL,2021-12-21,671
520,SOL,2021-12-22,849
521,SOL,2021-12-23,1005
522,SOL,2021-12-24,1096
523,SOL,2021-12-25,1168
524,SOL,2021-12-26,1256
525,SOL,2021-12-27,1487
526,SOL,2021-12-28,1525
527,SOL,2021-12-29,1526
528,SOL,2021-12-30,1527
529,SOL,2021-12-31,1568
530,SOL,2022-01-01,1572
531,SOL,2022-01-02,1585
532,SOL,2022-01-03,1786
533,SOL,2022-01-04,1936
534,SOL,2022-01-05,2036
535,SOL,2022-01-06,2123
536,SOL,2022-01-07,2204
537,SOL,2022-01-08,2271
538,SOL,2022-01-09,2363
539,SOL,2022-01-10,2464
540,SOL,2022-01-11,2589
541,SOL,2022-01-12,2752
542,SOL,2022-01-13,2918
543,SOL,2022-01-14,3085
544,SOL,2022-01-15,3375
545,SOL,2022-01-16,3591
546,SOL,2022-01-17,3838
547,SOL,2022-01-18,4004
548,SOL,2022-01-19,4147
549,SOL,2022-01-20,4289
550,SOL,2022-01-21,4438
551,SOL,2022-01-22,4491
552,SOL,2022-01-23,4560
553,SOL,2022-01-24,4661
554,SOL,2022-01-25,4812
555,SOL,2022-01-26,4912
556,SOL,2022-01-27,5033
557,SOL,2022-01-28,5211
558,SOL,2022-01-29,5323
559,SOL,2022-01-30,5438
560,SOL,2022-01-31,5551
561,SOL,2022-02-01,5641
562,SOL,2022-02-02,5762
563,SOL,2022-02-03,5881
564,SOL,2022-02-04,5987
565,SOL,2022-02-05,6057
566,SOL,2022-02-06,6162
567,SOL,2022-02-07,6234
568,SOL,2022-02-08,6275
569,SOL,2022-02-11,6276
570,SOL,2022-02-18,6277
571,SOL,2022-02-25,6278
572,SOL,2022-03-04,6279
573,SOL,2022-03-11,6280
574,SRM,2021-12-24,20
575,SRM,2021-12-25,37
576,SRM,2021-12-26,59
577,SRM,2021-12-27,76
578,SRM,2021-12-28,95
579,SRM,2021-12-29,115
580,SRM,2021-12-30,152
581,SRM,2021-12-31,175
582,SRM,2022-01-01,198
583,SRM,2022-01-02,214
584,SRM,2022-01-03,238
585,SRM,2022-01-04,258
586,SRM,2022-01-05,281
587,SRM,2022-01-06,291
588,SRM,2022-01-07,301
589,SRM,2022-01-08,311
590,SRM,2022-01-09,318
591,SRM,2022-01-10,327
592,SRM,2022-01-11,335
593,SRM,2022-01-12,342
594,SRM,2022-01-13,358
595,SRM,2022-01-14,377
596,SRM,2022-01-15,411
597,SRM,2022-01-16,425
598,SRM,2022-01-17,439
599,SRM,2022-01-18,447
600,SRM,2022-01-19,457
601,SRM,2022-01-20,467
602,SRM,2022-01-21,475
603,SRM,2022-01-22,479
604,SRM,2022-01-23,485
605,SRM,2022-01-24,490
606,SRM,2022-01-25,500
607,SRM,2022-01-26,509
608,SRM,2022-01-27,519
609,SRM,2022-01-28,531
610,SRM,2022-01-29,543
611,SRM,2022-01-30,550
612,SRM,2022-01-31,555
613,SRM,2022-02-01,564
614,SRM,2022-02-02,570
615,SRM,2022-02-03,577
616,SRM,2022-02-04,583
617,SRM,2022-02-05,590
618,SRM,2022-02-06,595
619,SRM,2022-02-07,604
620,SRM,2022-02-08,613
621,SRM,2022-02-09,617
622,SRM,2022-02-10,623
623,SRM,2022-02-11,629
624,SRM,2022-02-12,633
625,SRM,2022-02-13,640
626,SRM,2022-02-15,642
627,SRM,2022-02-16,644
628,SRM,2022-02-17,648
629,SRM,2022-02-18,652
630,SRM,2022-02-19,654
631,SRM,2022-02-20,656
632,SRM,2022-02-21,657
633,SRM,2022-02-22,659
634,SRM,2022-02-23,662
635,SRM,2022-02-24,665
636,SRM,2022-02-25,668
637,SRM,2022-02-26,671
638,SRM,2022-02-27,673
639,SRM,2022-02-28,675
640,SRM,2022-03-01,679
641,SRM,2022-03-02,682
642,SRM,2022-03-03,683
643,SRM,2022-03-04,685
644,SRM,2022-03-05,689
645,SRM,2022-03-06,695
646,SRM,2022-03-07,697
647,SRM,2022-03-08,698
