,amount,symbol,cash,date,signer,receiver,asset
1679,210635.212098,USDC,USDC,2022-02-12T08:41:30Z,5N5EgzjM1iqoMXWcN21VFGTMox7YY4AhKhvPwoXSDMpQ,5N5EgzjM1iqoMXWcN21VFGTMox7YY4AhKhvPwoXSDMpQ,SOL
1680,101.404951,USDC,USDC,2022-02-12T10:10:34Z,HK8FJuxL52jXRTi38YKxZ9KZfoSFzUbngnopmyQT7XiE,HK8FJuxL52jXRTi38YKxZ9KZfoSFzUbngnopmyQT7XiE,BTC
1681,0.700402,USDC,USDC,2022-02-12T10:57:20Z,Fu3qQ5mLEJjmwHkPhu7ZvggeFuCC3bfwhShRhsLcLHM,Fu3qQ5mLEJjmwHkPhu7ZvggeFuCC3bfwhShRhsLcLHM,SOL
1682,1.874341,USDC,USDC,2022-02-12T12:47:11Z,DjbUtpZn2uWVLxSYJq7grGyCuS5EKVduH4vSJ41Ukwze,DjbUtpZn2uWVLxSYJq7grGyCuS5EKVduH4vSJ41Ukwze,SOL
1683,101.11023,USDC,USDC,2022-02-12T16:08:01Z,3vn4UbZ7pXDhsz2HiaxR9xz6KeXcfyMH5ngNWJa1cdRm,3vn4UbZ7pXDhsz2HiaxR9xz6KeXcfyMH5ngNWJa1cdRm,BTC
1684,101.511063,USDC,USDC,2022-02-12T16:11:34Z,XPucQa5eu9i1LWQjWBZzT1k6akMhJoB92g2UpAkaKvP,XPucQa5eu9i1LWQjWBZzT1k6akMhJoB92g2UpAkaKvP,BTC
1685,101.11023,USDC,USDC,2022-02-12T16:14:47Z,6jJqyU1ihRL1zm6diYToMYjP6XgD8biZmH3CCCqeFUsT,6jJqyU1ihRL1zm6diYToMYjP6XgD8biZmH3CCCqeFUsT,BTC
1686,4923.100859,USDC,USDC,2022-02-12T16:27:37Z,377PLmXSgcJdKFVCqpuYbZ4MB7dRTH5U1vFbts8nKKfK,377PLmXSgcJdKFVCqpuYbZ4MB7dRTH5U1vFbts8nKKfK,SOL
1687,25.715404,USDC,USDC,2022-02-12T17:14:46Z,A2oQsXsZf4ybram5p7TwhFSmWavX2arHWHfJpFV8Rybx,A2oQsXsZf4ybram5p7TwhFSmWavX2arHWHfJpFV8Rybx,SOL
1688,1802.655324,USDC,USDC,2022-02-12T17:27:22Z,4HrLBc5oAWNEoNjsCA2rFBfaemN3MmcMo8os1DBGPg85,4HrLBc5oAWNEoNjsCA2rFBfaemN3MmcMo8os1DBGPg85,MNGO
1689,9.664185,USDC,USDC,2022-02-12T17:47:41Z,4UwU4P1DLgZnDv81sdtLfABAyrReiAejMM83DZjoCuAE,4UwU4P1DLgZnDv81sdtLfABAyrReiAejMM83DZjoCuAE,SOL
1690,13780.885348,USDC,USDC,2022-02-12T18:00:10Z,BzYhx2B6FF9fzr9gkDm2pawcfUHeQP1PeMWjB7mtVB9P,BzYhx2B6FF9fzr9gkDm2pawcfUHeQP1PeMWjB7mtVB9P,MNGO
1691,65713.44087,USDC,USDC,2022-02-12T18:41:43Z,DRVtEzZs9u9ysrcANZLEjrvbuuGqYn77v2h4cDFKuNUx,DRVtEzZs9u9ysrcANZLEjrvbuuGqYn77v2h4cDFKuNUx,SOL
1692,40.568918,USDC,USDC,2022-02-12T21:20:02Z,7zejhpRmbno9uu1qGBazp2eu36X3nJUHkaFsobssAULn,7zejhpRmbno9uu1qGBazp2eu36X3nJUHkaFsobssAULn,SOL
1693,64.846551,USDC,USDC,2022-02-12T21:51:06Z,J6dkuoaun8cGYAmRigRtnb8m1TuTT8CQbJ8p4wEVMe8m,J6dkuoaun8cGYAmRigRtnb8m1TuTT8CQbJ8p4wEVMe8m,SOL
1694,27877.835688,USDC,USDC,2022-02-13T03:53:23Z,6wcnTRwwAoDqkumgareJtyrdjupkQNgnw29yxxhm9Rxy,6wcnTRwwAoDqkumgareJtyrdjupkQNgnw29yxxhm9Rxy,SOL
1695,70.482491,USDC,USDC,2022-02-13T08:46:24Z,Fg1rMSC96SWYdrBmMh1sEyfXKdgVSaF2z19uaEqRW7NF,Fg1rMSC96SWYdrBmMh1sEyfXKdgVSaF2z19uaEqRW7NF,SOL
1696,79.305777,USDC,USDC,2022-02-13T10:44:50Z,CkhRhYYLdBf7gsxQHXY3bHzKSSbqKk8vXq4FK9Cd1XX8,CkhRhYYLdBf7gsxQHXY3bHzKSSbqKk8vXq4FK9Cd1XX8,ETH
